4514,alfalfa sprouts,9.5
4131,apple fuji,7
4133,apple gala,16
4017,apple granny smith,1.99
4218,apricots,5
4525,asparagus,8
4225,avocado large hass,10
4227,avocado small,19
4234,banana leaf,17
4011,banana,6
4232,banana baby,10
4229,banana burro,19
4235,banana macho,11
4885,basil,4
4536,bean sprouts,2
3176,beans black,13
3196,beans black eye,17
3174,beans garbanzo,9
4066,beans green,1
3175,beans haba dry,11
4528,beans haba fresh,16
3173,beans lentils,19.01
3170,beans peruano,9
3172,beans pinto,2
3177,beans red,8
4539,beets bunch,20
4540,beets loose,9
4065,bell pepper green,2
4088,bell pepper red,20
4239,black berries,13
4545,bok choy,15
4060,broccoli,12
4550,brussel sprouts,17
4069,cabbage green,1
4556,cabbage Napa,18
4554,cabbage red,14
4820,camote de cerro,6
4562,carrots,15.01
4079,cauliflower,13
4583,celery,14
4045,cherries red,20
4822,chile de arbol fresco,14
4696,chile anaheim,7
3125,chile habanero,2
4692,chile hungaro,14
4693,chile jalapeño,14
4701,chile pasilla,8.99
4709,chile serrano,12
4680,chile yellow,11
3188,chile dry california,1
3185,chile dry arbol,2
3186,chile dry guajillo,19
3181,chile dry japanese,4
3184,chile dry pasilla,11
4260,coconut white,8
4077,corn white,15
4078,corn yellow,11
4062,cucumber,7.99
4593,cucumber persian,20
4874,duritos,15
4081,eggplant,11
4608,garlic,2
4612,ginger root,5
4282,grapefruit,16
4273,grapes globe,5
4022,grapes green,11
4023,grapes red seedless,10
4614,green collard,17
4627,green kale,18
4619,green turnip,12
4821,guajes,5
3189,guasanas,1
4299,guayabas,15
4889,cilantro,20
4909,epazote,10
4896,mint,20
4897,oregano,2
4899,parsley,15
4870,jamaica,19
4626,jicama,2
4629,leeks,2
4053,lemons yellow,10
4061,lettuce,15
4076,lettuce green leaf,5
4075,lettuce red leaf,19
4640,lettuce romaine,12
4048,limes,14
4305,limes mex key,20
4306,limes sweet,8
4644,malanga,5
4310,mamey,2
4051,mango,4
4050,melon cantaloupe,18
4034,melon honeydew,1
4645,mushroom bulk,5
4646,mushroom pack,5
4036,nectarines,20
4188,nectarines white,15
4926,nuts brazil,6
4931,nuts peanuts,1
4936,nuts pecans,14
4943,nuts walnuts,6
4939,nuts pistachios,1
4658,onions boiling,1
4093,onions brown,9
4068,onions green,14
4082,onions red,15
4663,onions white,9
4012,orange navel,6
4395,papaya,10
4038,peaches yellow,5
4409,pear bartlett,11
4026,pear bosc,18
4416,pear anjou,9
4427,persimmon,2
4873,piloncillo,18
4430,pineapple,7
4039,plums black,5
4041,plums red,14
4445,pomegranate,10
4073,potato red,3
4072,potato russet loose,7
4083,potato white,19
4089,radish red bunch,20
4090,spinach,4
4759,squash butternut,1
4827,squash chayote,16
4769,squash kabocha,12
4776,squash spaghetti,11
4750,squash acorn,12
4786,squash mexican,16
4784,squash yellow,11
4028,strawberry basket,18
4450,tangerine clementine,4
4453,tangerine honey,10
4055,tangerine mineola,7
4472,tejocote,3
4801,tomatillo,4
3146,tomatoes cherry,16
4063,tomatoes reg,3
3145,tomatoes roma,7
4813,turnips,17
4815,watercress,8
4031,watermelon reg,13
4032,watermelon seedless,6
4471,tuna,18
4818,yams medium,19
4817,yams jumbo,19
4819,yucca,1